season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,points_deduction,source_url
,1,Barcelona (C),38,26,9,3,90,36,+54,87,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,2,Atlético Madrid,38,22,10,6,55,29,+26,76,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,3,Real Madrid,38,21,5,12,63,46,+17,68,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,4,Valencia,38,15,16,7,51,35,+16,61,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,5,Getafe,38,15,14,9,48,35,+13,59,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,6,Sevilla,38,17,8,13,62,47,+15,59,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,7,Espanyol,38,14,11,13,48,50,-2,53,Qualification for the Europa League second qualifying round,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,8,Athletic Bilbao,38,13,14,11,41,45,-4,53,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,9,Real Sociedad,38,13,11,14,45,46,-1,50,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,10,Real Betis,38,14,8,16,44,52,-8,50,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,11,Alavés,38,13,11,14,39,50,-11,50,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,12,Eibar,38,11,14,13,46,50,-4,47,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,13,Leganés,38,11,12,15,37,43,-6,45,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,14,Villarreal,38,10,14,14,49,52,-3,44,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,15,Levante,38,11,11,16,59,66,-7,44,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,16,Valladolid,38,10,11,17,32,51,-19,41,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,17,Celta Vigo,38,10,11,17,53,62,-9,41,,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,18,Girona (R),38,9,10,19,37,53,-16,37,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,19,Huesca (R),38,7,12,19,43,65,-22,33,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,20,Rayo Vallecano (R),38,8,8,22,41,70,-29,32,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2018%E2%80%9319_La_Liga
,1,Real Madrid (C),38,26,9,3,70,25,+45,87,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,2,Barcelona,38,25,7,6,86,38,+48,82,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,3,Atlético Madrid,38,18,16,4,51,27,+24,70,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,4,Sevilla,38,19,13,6,54,34,+20,70,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,5,Villarreal,38,18,6,14,63,49,+14,60,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,6,Real Sociedad,38,16,8,14,56,48,+8,56,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,7,Granada,38,16,8,14,52,45,+7,56,Qualification for the Europa League second qualifying round,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,8,Getafe,38,14,12,12,43,37,+6,54,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,9,Valencia,38,14,11,13,46,53,-7,53,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,10,Osasuna,38,13,13,12,46,54,-8,52,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,11,Athletic Bilbao,38,13,12,13,41,38,+3,51,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,12,Levante,38,14,7,17,47,53,-6,49,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,13,Valladolid,38,9,15,14,32,43,-11,42,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,14,Eibar,38,11,9,18,39,56,-17,42,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,15,Real Betis,38,10,11,17,48,60,-12,41,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,16,Alavés,38,10,9,19,34,59,-25,39,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,17,Celta Vigo,38,7,16,15,37,49,-12,37,,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,18,Leganés (R),38,8,12,18,30,51,-21,36,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,19,Mallorca (R),38,9,6,23,40,65,-25,33,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,20,Espanyol (R),38,5,10,23,27,58,-31,25,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2019%E2%80%9320_La_Liga
,1,Atlético Madrid (C),38,26,8,4,67,25,+42,86,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,2,Real Madrid,38,25,9,4,67,28,+39,84,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,3,Barcelona,38,24,7,7,85,38,+47,79,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,4,Sevilla,38,24,5,9,53,33,+20,77,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,5,Real Sociedad,38,17,11,10,59,38,+21,62,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,6,Real Betis,38,17,10,11,50,50,0,61,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,7,Villarreal,38,15,13,10,60,44,+16,58,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,8,Celta Vigo,38,14,11,13,55,57,-2,53,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,9,Granada,38,13,7,18,47,65,-18,46,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,10,Athletic Bilbao,38,11,13,14,46,42,+4,46,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,11,Osasuna,38,11,11,16,37,48,-11,44,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,12,Cádiz,38,11,11,16,36,58,-22,44,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,13,Valencia,38,10,13,15,50,53,-3,43,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,14,Levante,38,9,14,15,46,57,-11,41,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,15,Getafe,38,9,11,18,28,43,-15,38,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,16,Alavés,38,9,11,18,36,57,-21,38,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,17,Elche,38,8,12,18,34,55,-21,36,,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,18,Huesca (R),38,7,13,18,34,53,-19,34,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,19,Valladolid (R),38,5,16,17,34,57,-23,31,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,20,Eibar (R),38,6,12,20,29,52,-23,30,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2020%E2%80%9321_La_Liga
,1,Real Madrid (C),38,26,8,4,80,31,+49,86,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,2,Barcelona,38,21,10,7,68,38,+30,73,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,3,Atlético Madrid,38,21,8,9,65,43,+22,71,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,4,Sevilla,38,18,16,4,53,30,+23,70,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,5,Real Betis,38,19,8,11,62,40,+22,65,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,6,Real Sociedad,38,17,11,10,40,37,+3,62,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,7,Villarreal,38,16,11,11,63,37,+26,59,Qualification for the Europa Conference League play-off round,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,8,Athletic Bilbao,38,14,13,11,43,36,+7,55,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,9,Valencia,38,11,15,12,48,53,-5,48,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,10,Osasuna,38,12,11,15,37,51,-14,47,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,11,Celta Vigo,38,12,10,16,43,43,0,46,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,12,Rayo Vallecano,38,11,9,18,39,50,-11,42,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,13,Elche,38,11,9,18,40,52,-12,42,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,14,Espanyol,38,10,12,16,40,53,-13,42,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,15,Getafe,38,8,15,15,33,41,-8,39,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,16,Mallorca,38,10,9,19,36,63,-27,39,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,17,Cádiz,38,8,15,15,35,51,-16,39,,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,18,Granada (R),38,8,14,16,44,61,-17,38,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,19,Levante (R),38,8,11,19,51,76,-25,35,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,20,Alavés (R),38,8,7,23,31,65,-34,31,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2021%E2%80%9322_La_Liga
,1,Barcelona (C),38,28,4,6,70,20,+50,88,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,2,Real Madrid,38,24,6,8,75,36,+39,78,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,3,Atlético Madrid,38,23,8,7,70,33,+37,77,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,4,Real Sociedad,38,21,8,9,51,35,+16,71,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,5,Villarreal,38,19,7,12,59,40,+19,64,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,6,Real Betis,38,17,9,12,46,41,+5,60,Qualification for the Europa League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,7,Osasuna,38,15,8,15,37,42,-5,53,Qualification for the Europa Conference League play-off round,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,8,Athletic Bilbao,38,14,9,15,47,43,+4,51,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,9,Mallorca,38,14,8,16,37,43,-6,50,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,10,Girona,38,13,10,15,58,55,+3,49,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,11,Rayo Vallecano,38,13,10,15,45,53,-8,49,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,12,Sevilla,38,13,10,15,47,54,-7,49,Qualification for the Champions League group stage,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,13,Celta Vigo,38,11,10,17,43,53,-10,43,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,14,Cádiz,38,10,12,16,30,53,-23,42,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,15,Getafe,38,10,12,16,34,45,-11,42,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,16,Valencia,38,11,9,18,42,45,-3,42,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,17,Almería,38,11,8,19,49,65,-16,41,,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,18,Valladolid (R),38,11,7,20,33,63,-30,40,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,19,Espanyol (R),38,8,13,17,52,69,-17,37,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,20,Elche (R),38,5,10,23,30,67,-37,25,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2022%E2%80%9323_La_Liga
,1,Real Madrid (C),38,29,8,1,87,26,+61,95,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,2,Barcelona,38,26,7,5,79,44,+35,85,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,3,Girona,38,25,6,7,85,46,+39,81,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,4,Atlético Madrid,38,24,4,10,70,43,+27,76,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,5,Athletic Bilbao,38,19,11,8,61,37,+24,68,Qualification for the Europa League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,6,Real Sociedad,38,16,12,10,51,39,+12,60,Qualification for the Europa League league phase,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,7,Real Betis,38,14,15,9,48,45,+3,57,Qualification for the Conference League play-off round,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,8,Villarreal,38,14,11,13,65,65,0,53,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,9,Valencia,38,13,10,15,40,45,-5,49,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,10,Alavés,38,12,10,16,36,46,-10,46,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,11,Osasuna,38,12,9,17,45,56,-11,45,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,12,Getafe,38,10,13,15,42,54,-12,43,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,13,Celta Vigo,38,10,11,17,46,57,-11,41,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,14,Sevilla,38,10,11,17,48,54,-6,41,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,15,Mallorca,38,8,16,14,33,44,-11,40,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,16,Las Palmas,38,10,10,18,33,47,-14,40,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,17,Rayo Vallecano,38,8,14,16,29,48,-19,38,,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,18,Cádiz (R),38,6,15,17,26,55,-29,33,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,19,Almería (R),38,3,12,23,43,75,-32,21,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,20,Granada (R),38,4,9,25,38,79,-41,21,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2023%E2%80%9324_La_Liga
,1,Barcelona (C),38,28,4,6,102,39,+63,88,Qualification for the Champions League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,2,Real Madrid,38,26,6,6,78,38,+40,84,Qualification for the Champions League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,3,Atlético Madrid,38,22,10,6,68,30,+38,76,Qualification for the Champions League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,4,Athletic Bilbao,38,19,13,6,54,29,+25,70,Qualification for the Champions League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,5,Villarreal,38,20,10,8,71,51,+20,70,Qualification for the Champions League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,6,Real Betis,38,16,12,10,57,50,+7,60,Qualification for the Europa League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,7,Celta Vigo,38,16,7,15,59,57,+2,55,Qualification for the Europa League league stage,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,8,Rayo Vallecano,38,13,13,12,41,45,-4,52,Qualification for the Conference League play-off round,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,9,Osasuna,38,12,16,10,48,52,-4,52,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,10,Mallorca,38,13,9,16,35,44,-9,48,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,11,Real Sociedad,38,13,7,18,35,46,-11,46,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,12,Valencia,38,11,13,14,44,54,-10,46,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,13,Getafe,38,11,9,18,34,39,-5,42,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,14,Espanyol,38,11,9,18,40,51,-11,42,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,15,Alavés,38,10,12,16,38,48,-10,42,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,16,Girona,38,11,8,19,44,60,-16,41,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,17,Sevilla,38,10,11,17,42,55,-13,41,,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,18,Leganés (R),38,9,13,16,39,56,-17,40,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,19,Las Palmas (R),38,8,8,22,40,61,-21,32,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,20,Valladolid (R),38,4,4,30,26,90,-64,16,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_La_Liga
,1,Barcelona (Q),33,28,1,4,87,30,+57,85,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,2,Real Madrid (Q),33,23,5,5,68,31,+37,74,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,3,Villarreal (X),33,20,5,8,59,38,+21,65,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,4,Atlético Madrid (X),33,18,6,9,56,37,+19,60,Qualification for the Champions League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,5,Real Betis,33,12,14,7,49,41,+8,50,Qualification for the Europa League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,6,Getafe,33,13,5,15,28,34,-6,44,Qualification for the Conference League play-off round,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,7,Celta Vigo,33,11,11,11,45,43,+2,44,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,8,Real Sociedad (X),33,11,10,12,52,52,0,43,Qualification for the Europa League league phase,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,9,Osasuna,33,11,9,13,39,40,-1,42,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,10,Athletic Bilbao,33,12,5,16,36,48,-12,41,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,11,Valencia,33,10,9,14,37,48,-11,39,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,12,Rayo Vallecano,33,9,12,12,33,41,-8,39,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,13,Espanyol,33,10,9,14,37,49,-12,39,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,14,Elche,33,9,11,13,44,50,-6,38,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,15,Girona,33,9,11,13,36,50,-14,38,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,16,Alavés,33,9,9,15,38,49,-11,36,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,17,Mallorca,33,9,8,16,41,51,-10,35,,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,18,Sevilla,33,9,7,17,40,55,-15,34,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,19,Levante,33,8,9,16,37,50,-13,33,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
,20,Real Oviedo,33,6,10,17,26,51,-25,28,Relegation to Segunda División,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_La_Liga
